,ops_num,game_code,circulation,ufps_num,postamt_num,sales,date
0,117463,7105,216,2,165,57,2017-01-15
2,117218,7105,217,2,165,17,2017-01-22
4,109518,7105,218,2,484,16,2017-01-29
8,119311,7105,209,2,306,22,2016-11-27
13,105043,7105,212,2,224,25,2016-12-18
14,119192,7105,213,2,306,22,2016-12-25
17,119619,7105,261,2,306,68,2017-11-26
20,119619,7105,262,2,306,51,2017-12-03
31,111622,7105,294,2,224,16,2018-07-15
50,111398,7105,244,2,224,10,2017-07-30
51,119311,7105,245,2,306,46,2017-08-06
55,115598,7105,246,2,165,25,2017-08-13
60,111524,7105,280,2,224,29,2018-04-08
64,111524,7105,281,2,224,33,2018-04-15
67,127576,7105,321,2,96,47,2019-01-20
70,127422,7105,322,2,96,28,2019-01-27
72,105005,7105,323,2,224,31,2019-02-03
76,129281,7105,312,2,96,20,2018-11-18
79,117405,7105,312,2,165,26,2018-11-18
84,119192,7105,314,2,306,32,2018-12-02
88,109382,7105,315,2,484,38,2018-12-09
97,129110,7105,252,2,96,25,2017-09-24
102,115682,7105,284,2,484,23,2018-05-06
104,119034,7105,284,2,306,17,2018-05-06
111,127474,7105,316,2,96,33,2018-12-16
115,129110,7105,318,2,96,630,2018-12-30
119,121374,7105,222,2,306,24,2017-02-26
121,109429,7105,223,2,484,13,2017-03-05
124,127422,7105,226,2,96,22,2017-03-26
159,125475,7105,238,2,664,17,2017-06-18
164,129281,7105,241,2,96,14,2017-07-09
165,115409,7105,277,2,165,32,2018-03-18
167,121087,7105,308,2,306,23,2018-10-21
169,119034,7105,309,2,306,36,2018-10-28
174,105554,7105,311,2,224,29,2018-11-11
176,123308,7105,255,2,664,28,2017-10-15
179,127576,7105,257,2,96,38,2017-10-29
181,127576,7105,258,2,96,25,2017-11-05
192,127276,7105,229,2,96,25,2017-04-16
198,121087,7105,231,2,306,20,2017-04-30
200,119311,7105,272,2,306,62,2018-02-11
214,117133,7105,305,2,165,19,2018-09-30
220,105523,7105,288,2,224,29,2018-06-03
231,105264,7105,213,2,224,27,2016-12-25
233,129272,7105,261,2,96,26,2017-11-26
236,125239,7105,261,2,664,52,2017-11-26
248,127276,7105,293,2,96,32,2018-07-08
253,109263,7105,294,2,484,28,2018-07-15
254,127495,7105,294,2,96,21,2018-07-15
273,127204,7105,272,2,96,34,2018-02-11
280,127204,7105,305,2,96,14,2018-09-30
289,119049,7105,237,2,306,31,2017-06-11
292,123557,7105,238,2,664,14,2017-06-18
294,125475,7105,239,2,664,21,2017-06-25
295,127276,7105,239,2,96,22,2017-06-25
298,117405,7105,276,2,165,114,2018-03-11
302,109263,7105,309,2,484,45,2018-10-28
331,119311,7105,227,2,306,30,2017-04-02
332,111250,7105,227,2,224,14,2017-04-02
338,124460,7105,318,2,664,247,2018-12-30
344,117133,7105,269,2,165,63,2018-01-21
353,124460,7105,302,2,664,50,2018-09-09
368,129164,7105,247,2,96,32,2017-08-20
374,115409,7105,206,2,165,57,2016-11-06
377,127410,7105,216,2,96,54,2017-01-15
385,119034,7105,312,2,306,18,2018-11-18
388,127576,7105,313,2,96,65,2018-11-25
390,129323,7105,314,2,96,24,2018-12-02
392,109429,7105,314,2,484,47,2018-12-02
394,127422,7105,314,2,96,38,2018-12-02
400,115409,7105,296,2,165,15,2018-07-29
410,124489,7105,299,2,664,44,2018-08-19
413,119034,7105,256,2,306,27,2017-10-22
418,117405,7105,258,2,165,48,2017-11-05
434,119192,7105,290,2,306,26,2018-06-17
436,124460,7105,291,2,664,42,2018-06-24
444,127422,7105,252,2,96,29,2017-09-24
445,125502,7105,252,2,664,25,2017-09-24
448,127495,7105,253,2,96,14,2017-10-01
452,129323,7105,284,2,96,27,2018-05-06
453,125363,7105,284,2,664,32,2018-05-06
454,115372,7105,286,2,165,65,2018-05-20
470,129110,7105,267,2,96,26,2018-01-07
474,115583,7105,296,2,484,29,2018-07-29
475,119619,7105,296,2,306,40,2018-07-29
484,105523,7105,238,2,224,17,2017-06-18
486,127410,7105,239,2,96,13,2017-06-25
487,109383,7105,239,2,484,16,2017-06-25
492,124489,7105,278,2,664,62,2018-03-25
497,109518,7105,224,2,484,13,2017-03-12
500,117133,7105,227,2,165,36,2017-04-02
510,124365,7105,245,2,664,24,2017-08-06
516,115598,7105,268,2,165,60,2018-01-14
518,124489,7105,268,2,664,60,2018-01-14
522,121151,7105,270,2,306,17,2018-01-28
529,125239,7105,300,2,664,49,2018-08-26
531,124460,7105,300,2,664,49,2018-08-26
537,109429,7105,302,2,484,48,2018-09-09
542,105523,7105,279,2,224,37,2018-04-01
550,107589,7105,313,2,224,27,2018-11-25
568,125362,7105,265,2,664,16,2017-12-24
581,127410,7105,295,2,96,7,2018-07-22
589,129281,7105,322,2,96,22,2019-01-27
593,125362,7105,322,2,664,28,2019-01-27
599,115598,7105,257,2,165,35,2017-10-29
605,125476,7105,258,2,664,27,2017-11-05
607,117463,7105,260,2,165,23,2017-11-19
609,129272,7105,260,2,96,26,2017-11-19
610,127410,7105,287,2,96,26,2018-05-27
612,125565,7105,288,2,664,14,2018-06-03
614,115598,7105,291,2,165,32,2018-06-24
620,109382,7105,231,2,484,9,2017-04-30
629,117218,7105,273,2,165,53,2018-02-18
631,107589,7105,273,2,224,52,2018-02-18
633,115035,7105,274,2,165,35,2018-02-25
635,127276,7105,275,2,96,52,2018-03-04
655,127495,7105,250,2,96,16,2017-09-10
658,124365,7105,252,2,664,24,2017-09-24
665,127081,7105,283,2,96,29,2018-04-29
674,117648,7105,274,2,165,19,2018-02-25
676,111398,7105,274,2,224,35,2018-02-25
681,111398,7105,316,2,224,36,2018-12-16
683,117648,7105,317,2,165,26,2018-12-23
685,123308,7105,318,2,664,485,2018-12-30
691,117463,7105,305,2,165,28,2018-09-30
699,109429,7105,307,2,484,53,2018-10-14
715,115035,7105,278,2,165,25,2018-03-25
720,121108,7105,308,2,306,16,2018-10-21
739,119602,7105,279,2,306,58,2018-04-01
746,129164,7105,281,2,96,65,2018-04-15
761,129323,7105,255,2,96,40,2017-10-15
762,127427,7105,255,2,96,25,2017-10-15
765,121108,7105,257,2,306,16,2017-10-29
776,125627,7105,212,2,664,16,2016-12-18
779,111250,7105,214,2,224,30,2017-01-01
786,124489,7105,288,2,664,23,2018-06-03
787,119034,7105,289,2,306,17,2018-06-10
788,111622,7105,289,2,224,18,2018-06-10
789,129338,7105,290,2,96,19,2018-06-17
791,125475,7105,290,2,664,17,2018-06-17
794,125222,7105,320,2,664,87,2019-01-13
798,115597,7105,261,2,484,63,2017-11-26
801,105568,7105,263,2,224,61,2017-12-10
804,123308,7105,265,2,664,67,2017-12-24
812,127434,7105,295,2,96,24,2018-07-22
814,129338,7105,295,2,96,24,2018-07-22
